Accession No.,Book Title,Author,Price (INR),Price ($),Price (Pound),Publisher,Issue / Lost / Available,Book No. / Barcode,Book Shelf No.,No. of Copies,S. No.
,UNIX Vol 1,Sumitabha Das,,,,McGRAW Hill,,,DCSE/6/1,2,24
,Data mining and statistical analysis using SQL,Trueblood and lovett,,,,A Press,,,DCSE/6/1,3,1
,Distributed data applications with ASP.NET,Homer & Susman,,,,A Press,,,DCSE/6/1,3,2
,Programming Logic and Design,Joyce Farrell,,,,Thomson course technology,,,DCSE/6/1,3,3
,Computer Organization and architecture,William Stallings,,,,PHI,,,DCSE/6/1,3,4
,The C odyssey : C++ and graphics,"Neeta Gandhi, shah",,,,bpb,,,DCSE/6/1,3,5
,Visual Basic 6,Greg Parry,,,,Techmedia,,,DCSE/6/1,3,6
,Red Hat fedora and enterprise Linux 4 Bible,Christropher Nigus,,,,Wiley,,,DCSE/6/1,3,7
,Microcomputer systems The 8086/8088 family,"Yu Cheng Liu, Glenn A. Gibson",,,,PHI,,,DCSE/6/1,3,8
,Components of information technology,KP yadav,,,,Standard Publishers,,,DCSE/6/1,3,10
,The programmers guide to SQL,Darry & Watson,,,,A Press,,,DCSE/6/1,3,11
,Visual Basic 6,Noel Jerke,,,,McGRAW Hill,,,DCSE/6/1,3,12
,Data structure using C,Tenenbaum ,,,,Pearson,,,DCSE/6/1,3,13
,Probability & statistics,murray,,,,McGRAW Hill,,Donated,DCSE/6/1,3,14
,Microsoft C++,Kruglinski,,,,Microsoft Press,,,DCSE/6/1,3,15
,Introduction to design and analysis of algorthms,Anany Levitian,,,,Pearson,,,DCSE/6/1,3,16
,IBM PC Assembly Language & Programming,Peter Abel,,,,Pearson,,,DCSE/6/1,3,17
,Discrete Mathematics and Combinatorics,T. Sengadir,,,,Pearson,,,DCSE/6/1,3,18
,Foundations of Software Testing,"Graham, van veenendal",,,,Thomson,,,DCSE/6/1,3,19
,Combinatorial Methods with computer applications,Jonathan L Gross,,,,Chapman & hall,,,DCSE/6/1,3,20
,ISDN and broadband ISDN with frame relay and ATM,William Stallings,,,,Pearson,,,DCSE/6/1,3,21
,PHP MySQL Website Programming,"Lea, buzzart",,,,A Press,,,DCSE/6/1,4,1
,Methods and models in computing,S Minz,,,,Allied publication,,,DCSE/6/1,4,2
,Java Swing,John zukowski,,,,A press,,,DCSE/6/1,4,3
,Visual Basic.NRT Class design handbook,"Allision , olsen",,,,A Press,,,DCSE/6/1,4,4
,Algorithms and Protocols for wireless sensor networks,AZZEDINE BOUKERCHE,,,,WILLEY,,,DCSE/6/1,4,5
,Real world. NET Publicaton,Budi Kurniawan,,,,A Press,,,DCSE/6/1,4,6
,Handbook of real Time and embedded system,"Lea,Leung, son",,,,Chapman & hall,,,DCSE/6/1,4,7
,A Programmers introduction to C#,Gunnerson,,,,A Press,,,DCSE/6/1,4,8
,A Programmers introduction to C# 2.0,Gunnerson,,,,A Press,,,DCSE/6/1,4,9
,Data structure ,Horowitz,,,,Galgotia,,,DCSE/6/1,4,10
,Let US C++,Yashwanth K,,,,BPB,,,DCSE/6/1,4,11
,Simulation Modelling and analysis,"W. David K., Aberill M. Law",,,,McGRAW Hill,,911363,DCSE/6/1,4,12
,Learning DCOM,Thuan L. Thai,,,,OREILLY,,,DCSE/6/1,4,13
,The working programmmers guide to serial protocols,Tim Kienpzle,,,,Coriolis Group Books,,Donated,DCSE/6/1,4,14
,JAVA TOOLS,"Andreas Ebeheart,Stefan Fischer",,,,WILLEY,,,DCSE/6/1,4,15
